h3_cell,centroid_latitude,centroid_longitude,alert_level,stress_index,alert_reason,predicted_calls_next_30d,predicted_calls_next_30d_p90,code_violations_count,service_311_count,prediction_uncertainty_30d,distance_to_nearest_station_km,equity_need_score
8944ec6a64bffff,32.381952973014826,-86.2896662351922,critical,4.106427889215307,"high predicted demand, concentrated code issues, high forecast uncertainty",8.341934603093964,8.674157810246493,76.0,356.0,8.674157810246493,,1.3609403938385363
8944ec6b137ffff,32.416004998667105,-86.28092938302157,critical,4.091222727199684,"high predicted demand, concentrated code issues, high forecast uncertainty",2.772277427492252,6.59836336740469,612.0,538.0,6.59836336740469,,1.3544280998305456
8944ec6b123ffff,32.416837696554936,-86.27750246257976,critical,4.0552672129807625,"high predicted demand, concentrated code issues, high forecast uncertainty",3.2375918074408077,7.128222578994812,358.0,838.0,7.128222578994812,,1.3390285348958526
8944ec6a457ffff,32.37444394105405,-86.32050448703865,critical,3.8929308108824467,"high predicted demand, high forecast uncertainty",7.60979305115398,9.156536223086611,43.0,407.0,9.156536223086611,,1.2695006747140647
8944ec684cbffff,32.41826749725476,-86.2835619620101,critical,3.84334719460739,"high predicted demand, concentrated code issues, high forecast uncertainty",3.759522768678469,6.357978434156432,460.0,503.0,6.357978434156432,,1.2482642625777916
8944ec6b143ffff,32.408619895840246,-86.2635483163519,critical,3.575917201205946,"high predicted demand, high forecast uncertainty",6.53317848251647,9.993505410495398,1.0,463.0,9.993505410495398,,1.1337253486355505
8944ec6a6b7ffff,32.381472137697166,-86.31549073348991,critical,3.543923449550002,"high predicted demand, high forecast uncertainty",6.949719420633361,10.2573261155316,0.0,361.0,10.2573261155316,,1.1200225865743454
8944ec79b07ffff,32.368140269042165,-86.286784603433,critical,3.521655130268476,"high predicted demand, high forecast uncertainty",5.925336732413977,10.233848022285391,5.0,524.0,10.233848022285391,,1.110485178023479
8944ec6a643ffff,32.38111913990627,-86.29309241399355,critical,3.4681873946592328,"high predicted demand, high forecast uncertainty",7.0344691369662415,9.63138431198598,2.0,335.0,9.63138431198598,,1.0875852172160143
8944eeb6dc7ffff,32.32884809204256,-86.24549671275045,critical,3.466536192803286,"high predicted demand, high forecast uncertainty",6.69894981409513,9.114369492135449,3.0,418.0,9.114369492135449,,1.0868780158102407
8944ec799a3ffff,32.36062937842878,-86.31761819888851,critical,3.399960855371311,"high predicted demand, concentrated code issues, high forecast uncertainty",3.6705378820566583,6.143195018015691,350.0,486.0,6.143195018015691,,1.058364135419308
8944eeb6cc3ffff,32.310749148174146,-86.22447336302402,critical,3.382296197704524,"high predicted demand, concentrated code issues, high forecast uncertainty",1.604807558244339,5.158048896235525,613.0,450.0,5.158048896235525,,1.0507984518601043
